"Year, ""Population"""
1960,72.814897
1961,73.377631
1962,74.025787
1963,74.714356
1964,75.318338
1965,75.963697
1966,76.600311
1967,76.951342
1968,77.29431
1969,77.909681
1970,78.169285
1971,78.312838
1972,78.68845
1973,78.936672
1974,78.967429
1975,78.673555
1976,78.336948
1977,78.159813
1978,78.091821
1979,78.126353
1980,78.288576
1981,78.407904
1982,78.333354
1983,78.128284
1984,77.858682
1985,77.684878
1986,77.720438
1987,77.83992
1988,78.144617
1989,78.751284
1990,79.433034
1991,80.013901
1992,80.624601
1993,81.156368
1994,81.438346
1995,81.678046
1996,81.914834
1997,82.034775
1998,82.047197
1999,82.100243
2000,82.211501
2001,82.349926
2002,82.488493
2003,82.534175
2004,82.516268
2005,82.469421
2006,82.376447
2007,82.266373
2008,82.110097
2009,81.902308
2010,81.776936
2011,80.274981
2012,80.425826
2013,80.645605
2014,80.982495
2015,81.686608
2016,82.348669
2017,82.656997
2018,82.914191
